n,depth,beam,field,field_wins,ratio
7,0,0.0001131784821101,1.8983452587661982e-09,True,59619.545805729096
7,1,2.477057139405048e-07,8.138395513057616e-10,True,304.3667680479209
7,2,9.465655481655233e-09,1.5154499877212402e-10,True,62.46102186380033
7,3,7.589817663244958e-11,1.8924195543945643e-10,False,0.4010642167388269
7,4,7.589817663244958e-11,1.8924195543945643e-10,False,0.4010642167388269
11,0,1.6308438660073143e-05,8.507033966154153e-10,True,19170.534318961745
11,1,3.013774559801341e-06,6.973048805036797e-10,True,4322.032792348192
11,2,1.0345535539357796e-08,6.973048805036797e-10,True,14.836459386151109
11,3,8.96418494988893e-11,4.864831870676767e-10,False,0.18426505145884692
11,4,8.96418494988893e-11,4.864831870676767e-10,False,0.18426505145884692
13,0,3.935898654328085e-05,8.383916894061372e-09,True,4694.582143480004
13,1,1.8833553026009757e-06,1.8145517310941275e-09,True,1037.9176687706563
13,2,5.0052814115630895e-09,3.3324343284846236e-10,True,15.019895122251873
13,3,2.3502977342104717e-11,3.3324343284846236e-10,False,0.07052795351796882
13,4,2.3502977342104717e-11,3.0469238243568947e-10,False,0.07713674084735421
