n,depth,beam,field,field_wins,ratio
7,0,0.0001131784821101,4.174044880955741e-06,True,27.11482155510155
7,1,2.477057139405048e-07,4.671820211799016e-07,False,0.5302124283697953
7,2,9.465655481655233e-09,6.364990201568332e-09,True,1.4871437632885747
7,3,9.465655481655233e-09,5.422798876608681e-10,True,17.455295129025476
11,0,1.6308438660073143e-05,1.6308438660073143e-05,False,1.0
11,1,3.013774559801341e-06,1.3207075849619445e-06,True,2.2819393135295587
11,2,1.0345535539357796e-08,8.880231328056709e-09,True,1.165007436987764
11,3,1.0345535539357796e-08,8.880231328056709e-09,True,1.165007436987764
13,0,3.935898654328085e-05,6.529412869382689e-06,True,6.027951874178538
13,1,1.8833553026009757e-06,2.760103652299506e-07,True,6.823494838796757
13,2,5.0052814115630895e-09,6.719379419539706e-08,False,0.07449023338387346
13,3,5.0052814115630895e-09,8.108403726225788e-09,False,0.6172955344310284
