n,depth,best_error,expr,nodes,dps,runtime_seconds
7,0,0.00011317848211012116,(48/77),1,80,120.397
7,1,2.477057139405048e-07,(sqrt((18/29)) * sqrt((481/768))),5,80,120.397
7,2,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,120.397
7,3,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,120.397
7,4,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,120.397
7,5,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,120.397
7,6,3.3488137152204445e-08,(sqrt((sqrt((217/351)) * sqrt((256/407)))) * sqrt((sqrt((32/51)) * sqrt((96/155))))),13,80,120.397
11,0,1.6308438660073143e-05,(53/63),1,80,116.058
11,1,7.1841600004507455e-06,(sqrt((243/290)) * sqrt((288/341))),5,80,116.058
11,2,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,116.058
11,3,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,116.058
11,4,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,116.058
11,5,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,116.058
11,6,1.868219356992995e-08,(sqrt((sqrt((203/240)) * sqrt((405/484)))) * sqrt((sqrt((36/43)) * sqrt((71/84))))),13,80,116.058
13,0,3.935898654328085e-05,(85/96),1,80,107.87
13,1,1.8833553026009753e-06,(sqrt((117/133)) * sqrt((336/377))),5,80,107.87
13,2,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,107.87
13,3,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,107.87
13,4,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,107.87
13,5,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,107.87
13,6,3.245207569335662e-08,(sqrt((sqrt((231/260)) * sqrt((847/960)))) * sqrt((sqrt((352/399)) * sqrt((8/9))))),13,80,107.87
