n,depth,best_error,expr,nodes,dps,runtime_seconds
7,0,1.4192102635868231e-05,(409/656),1,80,275.085
7,1,7.95085007831986e-08,(sqrt((1597/2560)) * sqrt((1728/2773))),5,80,275.085
7,2,8.14159850648366e-10,(sqrt((sqrt((101/162)) * sqrt((53/85)))) * sqrt((sqrt((1435/2304)) * sqrt((729/1168))))),13,80,275.085
7,3,9.184486504665301e-11,(sqrt((sqrt((sqrt((157/252)) * sqrt((599/960)))) * sqrt((sqrt((479/768)) * sqrt((91/146)))))) * sqrt((sqrt((sqrt((3645/5849)) * sqrt((519/832)))) * sqrt((sqrt((389/624)) * sqrt((5051/8100))))))),29,80,275.085
7,4,9.184486504665301e-11,(sqrt((sqrt((sqrt((157/252)) * sqrt((599/960)))) * sqrt((sqrt((479/768)) * sqrt((91/146)))))) * sqrt((sqrt((sqrt((3645/5849)) * sqrt((519/832)))) * sqrt((sqrt((389/624)) * sqrt((5051/8100))))))),29,80,275.085
11,0,1.6308438660073143e-05,(53/63),1,80,204.695
11,1,2.452753000703467e-09,(sqrt((164/195)) * sqrt((568/675))),5,80,204.695
11,2,8.890603808708875e-10,(sqrt((sqrt((101/120)) * sqrt((1453/1728)))) * sqrt((sqrt((1280/1523)) * sqrt((741/880))))),13,80,204.695
11,3,8.489042802040103e-11,(sqrt((sqrt((sqrt((1953/2320)) * sqrt((512/609)))) * sqrt((sqrt((53/63)) * sqrt((694/825)))))) * sqrt((sqrt((sqrt((568/675)) * sqrt((767/912)))) * sqrt((sqrt((613/729)) * sqrt((675/802))))))),29,80,204.695
11,4,8.489042802040103e-11,(sqrt((sqrt((sqrt((1953/2320)) * sqrt((512/609)))) * sqrt((sqrt((53/63)) * sqrt((694/825)))))) * sqrt((sqrt((sqrt((568/675)) * sqrt((767/912)))) * sqrt((sqrt((613/729)) * sqrt((675/802))))))),29,80,204.695
13,0,3.5079544717930844e-06,(1291/1458),1,80,287.086
13,1,7.861928141839059e-08,(sqrt((192/217)) * sqrt((2560/2889))),5,80,287.086
13,2,4.4614921757002435e-09,(sqrt((sqrt((1161/1312)) * sqrt((1531/1728)))) * sqrt((sqrt((1891/2136)) * sqrt((271/306))))),13,80,287.086
13,3,3.679823112889835e-11,(sqrt((sqrt((sqrt((1147/1296)) * sqrt((295/333)))) * sqrt((sqrt((4589/5184)) * sqrt((829/936)))))) * sqrt((sqrt((sqrt((1169/1320)) * sqrt((1891/2136)))) * sqrt((sqrt((215/243)) * sqrt((646/729))))))),29,80,287.086
13,4,3.679823112889835e-11,(sqrt((sqrt((sqrt((1147/1296)) * sqrt((295/333)))) * sqrt((sqrt((4589/5184)) * sqrt((829/936)))))) * sqrt((sqrt((sqrt((1169/1320)) * sqrt((1891/2136)))) * sqrt((sqrt((215/243)) * sqrt((646/729))))))),29,80,287.086
