n,depth,best_error,expr,nodes,dps,runtime_seconds
7,0,5.754853393824533e-08,(2219/3559),1,80,64.783
7,1,3.8042710648333866e-08,(((-5/17) * sqrt(10)) + (87/56)),6,80,64.783
7,2,4.355381610920972e-10,(((-11/10) * sqrt((((-19/61) * sqrt(21)) + (121/59)))) + (94/63)),11,80,64.783
7,3,4.355381610920972e-10,(((-11/10) * sqrt((((-19/61) * sqrt(21)) + (121/59)))) + (94/63)),11,80,64.783
7,4,4.355381610920972e-10,(((-11/10) * sqrt((((-19/61) * sqrt(21)) + (121/59)))) + (94/63)),11,80,64.783
11,0,8.507033966154154e-10,(3275/3893),1,80,64.232
11,1,8.507033966154154e-10,(3275/3893),1,80,64.232
11,2,8.507033966154154e-10,(3275/3893),1,80,64.232
11,3,8.507033966154154e-10,(3275/3893),1,80,64.232
11,4,8.507033966154154e-10,(3275/3893),1,80,64.232
13,0,1.09584330165724e-07,(3038/3431),1,80,61.697
13,1,1.1672821820241097e-08,(((14/37) * sqrt(29)) + (-53/46)),6,80,61.697
13,2,1.0691231344672758e-08,(((27/11) * sqrt((((37/58) * sqrt(13)) + (-58/41)))) + (-47/33)),11,80,61.697
13,3,1.0691231344672758e-08,(((27/11) * sqrt((((37/58) * sqrt(13)) + (-58/41)))) + (-47/33)),11,80,61.697
13,4,5.9197897694929225e-09,((-31/16) + (3 * sqrt((((19/6) * sqrt((((27/11) * sqrt((((11/25) * sqrt(14)) + (-35/46)))) + (-47/33)))) + (-111/53))))),21,80,61.697
