n,depth,best_error,expr,nodes,dps,runtime_seconds
7,0,0.00011317848211012116,(48/77),1,80,183.717
7,1,2.477057139405048e-07,(sqrt((18/29)) * sqrt((481/768))),5,80,183.717
7,2,9.465655481655233e-09,(sqrt((sqrt((121/189)) * sqrt((88/145)))) * sqrt((sqrt((25/39)) * sqrt((54/89))))),13,80,183.717
7,3,7.589817663244958e-11,(sqrt((sqrt((sqrt((19/30)) * sqrt((221/360)))) * sqrt((sqrt((352/567)) * sqrt((72/115)))))) * sqrt((sqrt((sqrt((407/640)) * sqrt((96/157)))) * sqrt((sqrt((75/121)) * sqrt((79/126))))))),29,80,183.717
11,0,1.6308438660073143e-05,(53/63),1,80,180.969
11,1,3.013774559801341e-06,(sqrt((180/217)) * sqrt((215/252))),5,80,180.969
11,2,1.0345535539357797e-08,(sqrt((sqrt((481/576)) * sqrt((61/72)))) * sqrt((sqrt((539/640)) * sqrt((58/69))))),13,80,180.969
11,3,8.964184949888931e-11,(sqrt((sqrt((sqrt((11/13)) * sqrt((240/287)))) * sqrt((sqrt((31/37)) * sqrt((49/58)))))) * sqrt((sqrt((sqrt((187/224)) * sqrt((39/46)))) * sqrt((sqrt((43/51)) * sqrt((47/56))))))),29,80,180.969
13,0,3.935898654328085e-05,(85/96),1,80,187.253
13,1,1.8833553026009753e-06,(sqrt((117/133)) * sqrt((336/377))),5,80,187.253
13,2,5.0052814115630895e-09,(sqrt((sqrt((15/17)) * sqrt((231/260)))) * sqrt((sqrt((198/221)) * sqrt((512/585))))),13,80,187.253
13,3,2.3502977342104714e-11,(sqrt((sqrt((sqrt((111/124)) * sqrt((473/540)))) * sqrt((sqrt((216/247)) * sqrt((459/512)))))) * sqrt((sqrt((sqrt((33/37)) * sqrt((51/58)))) * sqrt((sqrt((451/504)) * sqrt((473/540))))))),29,80,187.253
